<<<<<<< HEAD
timestamp;BTC;S&P;HS
=======
timestamp;BTC;S&P;HS
20231123-140338;37273;4556,62;17910,84
20231123-145820;37275;4556,62;17910,84
20231123-145934;37275;4556,62;17910,84
20231123-163401;37050;4556,62;17910,84
20231123-163501;37050;4556,62;17910,84
20231123-163601;37050;4556,62;17910,84
20231123-163701;37053;4556,62;17910,84
20231123-163801;37053;4556,62;17910,84
20231123-170001;36938;4556,62;17910,84
20231124-153214;37708;4556,62;17559,42
20231126-180431;37190;4559,34;17559,42
20231126-182005;37234;4559,34;17559,42
20231126-182401;37255;4559,34;17559,42
20231126-182501;37255;4559,34;17559,42
20231126-182601;37255;4559,34;17559,42
20231130-163410;37666;4556,43;17042,88
20231130-163437;37666;4555,96;17042,88
20231130-170001;37574;4544,47;17042,88
20231130-180001;37687;4544,21;17042,88
20231206-184125;44087;4564,68;16463,26
20231206-190001;43941;4564,81;16463,26
20231206-190130;43941;4564,26;16463,26
20231206-190150;43941;4563,47;16463,26
20231206-190259;43950;4563,16;16463,26
20231206-190309;43950;4563,16;16463,26
20231206-190348;43950;4562,83;16463,26
20231206-190409;43950;4563,33;16463,26
20231206-190737;43888;4561,80;16463,26
20231206-191148;43888;4563,25;16463,26
20231206-191200;43888;4563,26;16463,26
20231206-191556;43900;4560,94;16463,26
20231206-193333;43913;4564,27;16463,26
20231206-193549;43913;4563,60;16463,26
20231207-130001;43228;4549,34;16345,89
20231207-133127;43037;4549,34;16345,89
20231207-140001;43315;4549,34;16345,89
20231207-150001;43278;4549,34;16345,89
20231210-142532;43812;4604,37;16334,37
20231210-142737;43812;4604,37;16334,37
20231210-143717;43758;4604,37;16334,37
20231210-144011;43807;4604,37;16334,37
20231210-145855;43860;4604,37;16334,37
>>>>>>> master
